Dimension: array length (n),Time (clock)
1029,67.240000
1030,67.220000
1031,67.480000
1032,67.370000
1033,67.480000
1034,67.670000
1035,66.190000
1036,66.320000
1037,66.460000
1038,66.600000
1039,67.080000
1040,67.450000
1041,66.610000
1042,66.820000
1043,67.140000
1044,66.960000
1045,67.250000
1046,67.610000
1047,68.780000
1048,68.740000
1049,68.900000
1050,68.980000
1051,69.090000
1052,68.970000
1053,69.160000
1054,69.350000
1055,69.260000
1056,69.380000
1057,69.380000
1058,69.530000
1059,69.610000
1060,69.810000
1061,69.750000
1062,69.810000
1063,69.920000
1064,69.870000
1065,70.060000
1066,70.120000
1067,69.140000
1068,68.640000
1069,68.600000
1070,68.760000
1071,68.720000
1072,68.830000
1073,68.990000
1074,69.050000
1075,69.090000
1076,69.370000
1077,69.300000
1078,70.550000
1079,71.010000
1080,71.060000
1081,71.230000
1082,71.120000
1083,71.360000
1084,71.420000
1085,71.510000
1086,71.350000
1087,71.320000
1088,71.490000
1089,71.600000
1090,71.550000
1091,71.790000
1092,71.930000
1093,72.060000
1094,72.360000
1095,72.200000
1096,72.330000
1097,72.370000
1098,72.450000
1099,72.670000
1100,72.880000
1101,72.170000
1102,71.010000
1103,71.680000
1104,71.020000
1105,71.320000
1106,71.330000
1107,71.410000
1108,71.510000
1109,71.650000
1110,71.600000
1111,71.990000
1112,72.710000
1113,73.470000
1114,73.610000
1115,73.760000
1116,73.720000
1117,73.650000
1118,73.890000
1119,73.990000
1120,73.930000
1121,73.960000
1122,74.150000
1123,74.260000
1124,74.370000
1125,74.400000
1126,74.380000
1127,74.450000
1128,74.500000
1129,74.580000
1130,74.890000
1131,73.370000
1132,72.830000
1133,73.000000
1134,73.070000
1135,73.070000
1136,73.260000
1137,76.610000
1138,75.160000
1139,73.250000
1140,73.930000
1141,74.900000
1142,75.270000
1143,75.480000
1144,75.210000
1145,75.560000
1146,75.430000
1147,75.400000
1148,75.410000
1149,75.780000
1150,75.620000
1151,75.640000
1152,75.670000
1153,75.850000
1154,75.840000
1155,76.220000
1156,76.060000
1157,76.360000
1158,76.260000
1159,76.020000
1160,74.760000
1161,74.970000
1162,74.920000
1163,74.950000
1164,75.510000
1165,75.120000
1166,75.180000
1167,75.660000
1168,75.350000
1169,75.530000
1170,77.420000
1171,77.640000
1172,77.580000
1173,77.570000
1174,77.780000
1175,77.860000
1176,78.180000
1177,77.950000
1178,78.030000
1179,78.100000
1180,78.070000
1181,78.320000
1182,78.260000
1183,78.940000
1184,78.440000
1185,78.380000
1186,78.550000
1187,78.550000
1188,78.670000
1189,78.720000
1190,78.830000
1191,78.960000
1192,79.040000
1193,79.130000
1194,79.170000
1195,79.150000
1196,79.200000
1197,79.350000
1198,79.430000
1199,79.400000
1200,79.570000
1201,79.680000
1202,79.780000
1203,79.810000
1204,79.840000
1205,79.950000
1206,80.000000
1207,80.120000
1208,80.080000
1209,80.340000
1210,80.320000
1211,80.520000
1212,80.380000
1213,80.530000
1214,80.580000
1215,80.630000
1216,80.530000
1217,80.750000
1218,80.890000
1219,80.910000
1220,81.060000
1221,80.750000
1222,79.190000
1223,79.410000
1224,79.470000
1225,79.540000
1226,79.650000
1227,79.710000
1228,79.890000
1229,80.140000
1230,80.690000
1231,80.130000
1232,80.970000
1233,82.270000
1234,82.200000
1235,82.410000
1236,82.460000
1237,82.520000
1238,82.640000
1239,82.540000
1240,82.580000
1241,82.700000
1242,82.990000
1243,83.190000
1244,83.540000
1245,83.200000
1246,83.060000
1247,83.060000
1248,83.110000
1249,83.310000
1250,83.330000
1251,83.040000
1252,81.450000
1253,81.950000
1254,81.540000
1255,81.690000
1256,81.570000
1257,81.730000
1258,81.980000
1259,82.270000
1260,82.340000
1261,82.690000
1262,84.080000
1263,84.160000
1264,84.270000
1265,84.230000
1266,84.330000
1267,84.200000
1268,84.490000
1269,84.410000
1270,84.500000
1271,84.480000
1272,84.740000
1273,84.700000
1274,84.780000
1275,84.950000
1276,84.600000
1277,84.830000
1278,83.100000
1279,83.110000
1280,83.380000
1281,83.150000
1282,83.290000
1283,83.300000
1284,84.160000
1285,83.360000
1286,83.510000
1287,83.720000
1288,85.470000
1289,85.700000
1290,85.960000
1291,86.220000
1292,86.000000
1293,86.590000
1294,86.910000
1295,87.360000
1296,86.840000
1297,86.620000
1298,86.670000
1299,86.820000
1300,86.930000
1301,86.970000
1302,86.840000
1303,86.910000
1304,87.090000
1305,87.270000
1306,87.310000
1307,87.160000
1308,85.800000
1309,85.630000
1310,85.740000
1311,85.650000
1312,85.930000
1313,85.770000
1314,86.790000
1315,85.980000
1316,85.970000
1317,85.990000
1318,88.200000
1319,88.200000
1320,88.110000
1321,88.490000
1322,88.290000
1323,88.590000
1324,88.580000
1325,88.390000
1326,88.480000
1327,88.540000
1328,89.150000
1329,88.720000
1330,88.720000
1331,88.700000
1332,89.030000
1333,89.040000
1334,86.860000
1335,86.960000
1336,87.370000
1337,87.370000
1338,87.160000
1339,87.490000
1340,87.560000
1341,90.540000
1342,87.930000
1343,89.180000
1344,89.780000
1345,89.810000
1346,89.830000
1347,89.960000
1348,89.910000
